# Data source: SEC EDGAR (data.sec.gov)
# Screener Parameters:
# Revenue >= 0.0
# NetIncome >= 0.0
# EPS >= 0.0
# Debt/Assets <= 0.8

Ticker,Company,CIK,ReportDate,Revenue,NetIncome,NetMargin%,RevenueYoY%,Assets,Liabilities,Equity,Debt/Assets%,EPS,SharesOut
TMHC,TAYLOR MORRISON HOME CORP,0001562476,2024-12-31,4762059000,883309000,18.55,12.65,9297131000,3418951000,5866535000.0,36.77,8.43,97725037.0
WMK,"WEIS MARKETS, INC",0000105418,2024-12-28,4714573000,109941000,2.33,0.01,2107438000,661409000,1446031000.0,31.38,4.09,24744597.0
PSA,Public Storage,0001393311,2024-12-31,4695616000,2072011000,44.13,3.94,19754934000,9941282000,9712606000.0,50.32,10.68,175463014.0
H,HYATT HOTELS CORPORATION,0001468174,2024-12-31,4685000000,1296000000,27.66,5.78,13324000000,9498000000,3547000000.0,71.28,12.99,0.0
ZM,"Zoom Communications, Inc.",0001585521,2025-01-31,4665433000,1010238000,21.65,3.05,10988421000,2053337000,8935084000.0,18.69,3.28,
KMPB,Kemper Corporation,0000860748,2024-12-31,4638600000,317800000,6.85,-6.18,12630400000,9846100000,2788400000.0,77.96,4.95,58546860.0
KMPR,Kemper Corporation,0000860748,2024-12-31,4638600000,317800000,6.85,-6.18,12630400000,9846100000,2788400000.0,77.96,4.95,58546860.0
FBIN,"Fortune Brands Innovations, Inc.",0001519751,2024-12-28,4609000000,686700000,14.9,-0.37,6561800000,4139800000,2775500000.0,63.09,3.78,120138358.0
ROP,"ROPER TECHNOLOGIES, INC.",0000882835,2024-12-31,4607471000,1549300000,33.63,21.57,31334700000,12467100000,18867600000.0,39.79,14.47,107637430.0
MHO,"M/I HOMES, INC.",0000799292,2024-12-31,4504670000,563725000,12.51,11.68,4549796000,1610119000,2939677000.0,35.39,20.29,26148509.0
HEI,HEICO CORPORATION,0000046619,2025-10-31,4485044000,690385000,15.39,16.26,8500434000,3653901000,4305319000.0,42.98,4.97,26905966.0
HEI.A,HEICO CORPORATION,0000046619,2025-10-31,4485044000,690385000,15.39,16.26,8500434000,3653901000,4305319000.0,42.98,4.97,26905966.0
CACI,CACI International Inc,0000016058,2025-06-30,4467860000,499830000,11.19,310.7,8647598000,4753653000,3518072000.0,54.97,22.47,22079710.0
DFH,"DREAM FINDERS HOMES, INC.",0001825088,2024-12-31,4451606000,335341000,7.53,18.75,3328651000,1908291000,1244922000.0,57.33,3.44,
ELAN,Elanco Animal Health Incorporated,0001739104,2024-12-31,4439000000,338000000,7.61,0.5,12614000000,6518000000,6096000000.0,51.67,0.68,496863473.0
CCS,"Century Communities, Inc.",0001576940,2024-12-31,4398288000,333816000,7.59,19.12,4532472000,1911616000,2620856000.0,42.18,10.59,29384289.0
GO,Grocery Outlet Holding Corp.,0001771515,2024-12-28,4371501000,39465000,0.9,10.13,3173821000,1976437000,1197384000.0,62.27,0.4,98137230.0
WFRD,Weatherford International plc,0001603923,2024-12-31,4331000000,506000000,11.68,18.82,5159000000,3876000000,1285000000.0,75.13,6.93,71730033.0
AR,ANTERO RESOURCES CORPORATION,0001433270,2024-12-31,4325596000,675835000,15.62,-7.61,13010050000,5793517000,7021650000.0,44.53,0.18,308494000.0
COKE,"COCA-COLA CONSOLIDATED, INC.",0000317540,2024-12-31,4323668000,633125000,14.64,409.25,5313139000,3895528000,1417611000.0,73.32,1.21,7141447.0
